"Metric","Min","Mean","Max","Variance","Kurtosis"
"Prox",-9.8983128710073,20.8077276998574,281.036212466026,2223.62106856346,16.4039174453127
"Dist",-15.2164396818354,-9.2328124343719,-3.1906178941088,7.2666333648901,2.75559478786754
"Compart",-22.5355591911839,-11.422691170196,3.84262025685345,26.9502535870054,2.70638070211929
"ClusCoeff",-3.72072235726229,13.3902312093756,36.8300795891884,52.262001911957,3.52325835177026
"Flux",16.9221223666734,23.1459450768153,31.9598006444589,10.9684977674637,2.55521534133105
"Degree",-7.10932798715703,0.162901610390881,11.8588087029405,14.6583247792293,2.78024332398768
"Gyrate",-9.46125609898725,-1.60359036980932,8.89548138022942,17.4750021964819,2.70348420831834
"BC",-1.27268115942029,128.585768842525,541.465696277965,13659.5543366027,3.13958987499733
"Cohesion",-0.125993542086313,-0.0122418184043821,0.34303442314138,0.00860488182227573,7.9374475440919
"BA",-7.45280662496063,0.464330530215433,30.6378913686112,67.1648337936801,7.69474654388089
"AWGyrate",-5.9432214197625,0.856130495084913,34.7784851527981,83.9560988568723,10.0550201106786
"AWF",0.323887100584306,100.41103939359,683.711465583462,39096.960873915,3.71336200170349
"IIC",0.0543578026615719,7.56131388919915,87.3281968974503,415.954012406268,11.1831650763928
"PC",0.133531927102239,9.5266415232746,98.8722021004137,464.97438554969,11.5870273805669
"ECA",0.139391704155358,9.91864946616091,95.9725695302658,556.315468588775,10.0773765374778
"ProtConn",0.139391710065245,9.91864947151562,95.9725695233765,556.315468694631,10.0773765365643
"Prot",1.35378547998711,10.0602587488845,47.9245457061157,103.511662800492,8.1195354798864
